                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.94268,                0.65553,                 1.1901,                0.78537,                0.59877,                0.71896,                0.42994,                 1.4767,                  1.131,                 1.6533,              0.0014126,              0.0014126,              0.0014126
                     91,                0.93765,                0.68669,                 1.1935,                0.78135,                0.64545,                 0.7113,                0.41944,                 1.4985,                 1.1852,                 1.6883,               0.001406,               0.001406,               0.001406
                     92,                0.89854,                0.62609,                 1.1708,                0.78465,                0.63333,                0.72299,                 0.4128,                 1.5008,                  1.195,                 1.7023,              0.0013994,              0.0013994,              0.0013994
                     93,                0.93628,                0.63935,                 1.1903,                0.69558,                0.66061,                0.69935,                0.41431,                 1.4912,                 1.1662,                 1.6535,              0.0013928,              0.0013928,              0.0013928
                     94,                0.91221,                0.62083,                 1.1719,                0.72927,                0.67751,                0.72044,                0.42999,                 1.4613,                 1.0851,                 1.6167,              0.0013862,              0.0013862,              0.0013862
                     95,                0.90702,                0.61445,                 1.1836,                0.75374,                0.65152,                0.71755,                0.42798,                 1.4501,                 1.1642,                 1.6339,              0.0013796,              0.0013796,              0.0013796
                     96,                0.90299,                0.61927,                 1.1721,                0.72362,                0.62424,                0.69448,                0.41981,                 1.4431,                 1.1173,                 1.5961,               0.001373,               0.001373,               0.001373
                     97,                0.90544,                0.64636,                 1.1953,                0.78258,                0.61818,                0.70051,                0.41922,                 1.4051,                 1.1226,                 1.6107,              0.0013664,              0.0013664,              0.0013664
                     98,                0.88016,                0.61865,                 1.1539,                0.75643,                0.64242,                0.70207,                 0.4353,                 1.4089,                 1.2283,                 1.6109,              0.0013598,              0.0013598,              0.0013598
                     99,                0.89285,                0.63217,                 1.1725,                0.79586,                0.56708,                0.68862,                0.41903,                 1.4501,                 1.1793,                 1.6501,              0.0013532,              0.0013532,              0.0013532
                    100,                0.89143,                  0.643,                 1.1581,                0.68961,                0.61515,                0.63944,                0.38355,                 1.5693,                 1.3106,                 1.6816,              0.0013466,              0.0013466,              0.0013466
                    101,                0.91338,                 0.6361,                 1.1865,                0.77343,                0.62424,                0.70484,                0.42283,                 1.4499,                 1.2145,                  1.643,                0.00134,                0.00134,                0.00134
                    102,                0.93028,                0.63401,                 1.1873,                0.69447,                0.62679,                 0.6807,                0.40502,                  1.496,                 1.2072,                 1.6376,              0.0013334,              0.0013334,              0.0013334
                    103,                0.88185,                0.62487,                 1.1723,                0.68288,                0.65152,                0.70413,                0.42109,                 1.5054,                  1.206,                 1.7017,              0.0013268,              0.0013268,              0.0013268
                    104,                0.86507,                0.61283,                 1.1421,                0.72847,                0.66667,                0.72537,                 0.4379,                  1.445,                 1.1255,                 1.6422,              0.0013202,              0.0013202,              0.0013202
                    105,                0.87862,                0.60328,                 1.1662,                0.77585,                0.62424,                0.71986,                0.42144,                 1.4468,                 1.2652,                  1.668,              0.0013136,              0.0013136,              0.0013136
                    106,                0.89254,                0.61657,                 1.1706,                0.69433,                0.67457,                0.69945,                0.42457,                 1.4673,                 1.0674,                 1.7035,               0.001307,               0.001307,               0.001307
                    107,                0.88899,                0.59932,                 1.1704,                0.68031,                0.65455,                0.67286,                0.39231,                 1.5492,                 1.1531,                 1.7195,              0.0013004,              0.0013004,              0.0013004
                    108,                0.86355,                0.58672,                 1.1263,                0.69551,                0.62989,                0.68038,                0.40889,                 1.4878,                 1.1656,                 1.6621,              0.0012938,              0.0012938,              0.0012938
                    109,                0.84701,                0.60554,                 1.1408,                0.77953,                0.63939,                0.71794,                0.43663,                 1.4187,                 1.1514,                 1.6236,              0.0012872,              0.0012872,              0.0012872
                    110,                 0.8442,                0.56948,                 1.1222,                0.70619,                0.54627,                0.62856,                0.36332,                 1.5149,                 1.3239,                 1.7199,              0.0012806,              0.0012806,              0.0012806
                    111,                0.84345,                0.58099,                 1.1315,                0.79862,                0.62489,                0.74041,                0.45044,                  1.418,                 1.1141,                 1.6261,               0.001274,               0.001274,               0.001274
                    112,                0.84985,                0.58052,                 1.1313,                0.78065,                0.63939,                0.72528,                0.43399,                 1.4516,                 1.2385,                 1.6015,              0.0012674,              0.0012674,              0.0012674
                    113,                0.82341,                 0.5771,                 1.1202,                 0.8759,                0.62121,                0.73597,                0.42574,                  1.489,                 1.1735,                 1.6875,              0.0012608,              0.0012608,              0.0012608
