                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1099,                0.81988,                 1.1432,                0.74559,                0.66667,                0.70981,                0.41761,                 1.4664,                 1.2202,                  1.369,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0861,                0.79704,                 1.1298,                0.77094,                0.59091,                0.68291,                0.41068,                 1.3737,                 1.1276,                 1.3318,              0.0016106,              0.0016106,              0.0016106
                     61,                  1.084,                0.78964,                 1.1191,                0.76092,                0.62691,                0.70241,                0.41684,                 1.4302,                 1.2102,                  1.383,               0.001604,               0.001604,               0.001604
                     62,                  1.083,                0.78309,                 1.1215,                0.74258,                0.64848,                0.71284,                0.42354,                 1.4507,                 1.2124,                 1.3497,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0858,                0.79041,                 1.1421,                0.74298,                0.60443,                0.69292,                0.42181,                 1.4384,                  1.154,                 1.3597,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0774,                0.78083,                 1.1157,                0.79656,                0.66445,                0.73891,                0.44131,                 1.4979,                 1.1184,                 1.3917,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.0421,                0.76885,                 1.1121,                0.76267,                0.61212,                0.70471,                0.42873,                 1.3828,                 1.2137,                 1.3265,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0754,                 0.7766,                 1.1328,                0.68984,                0.68072,                0.72391,                0.44533,                 1.3733,                 1.1177,                 1.3131,               0.001571,               0.001571,               0.001571
                     67,                 1.0372,                0.74798,                 1.0927,                0.71919,                0.65193,                0.72458,                0.42088,                 1.4115,                 1.2182,                  1.335,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0684,                0.77087,                 1.1112,                0.68474,                0.62526,                0.65838,                0.38523,                 1.4465,                 1.3191,                 1.3962,              0.0015578,              0.0015578,              0.0015578
