                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1254,                0.82751,                 1.1706,                0.74069,                0.66648,                0.73072,                0.43668,                 1.4755,                 1.2036,                 1.4024,               0.001703,               0.001703,               0.001703
                     47,                 1.0911,                0.81903,                  1.163,                0.75259,                 0.6729,                0.73009,                0.43446,                 1.4727,                  1.085,                 1.4169,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1149,                0.79159,                 1.1612,                0.76173,                0.64242,                0.70992,                0.41753,                 1.4752,                 1.1379,                 1.4203,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.0768,                0.78896,                 1.1405,                0.74662,                0.62503,                0.71598,                0.42575,                 1.4851,                 1.2128,                 1.4222,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.0861,                0.79214,                 1.1531,                0.74489,                0.64545,                0.70811,                0.40873,                 1.5097,                 1.1757,                 1.4499,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1099,                0.79445,                 1.1511,                0.75432,                0.59697,                0.68682,                0.41284,                 1.5002,                  1.185,                 1.4645,                0.00167,                0.00167,                0.00167
                     52,                 1.1179,                0.83034,                  1.167,                0.77591,                0.57273,                0.67196,                0.39539,                 1.5257,                 1.1706,                 1.4624,              0.0016634,              0.0016634,              0.0016634
                     53,                  1.095,                0.78119,                 1.1541,                0.73791,                0.63939,                0.70493,                  0.423,                 1.5098,                 1.1643,                 1.4462,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.0752,                0.76227,                 1.1307,                0.70178,                0.70909,                0.72545,                0.44341,                 1.3972,                 1.1768,                  1.356,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0827,                0.78575,                 1.1527,                0.79692,                0.60646,                0.72254,                0.42984,                  1.434,                 1.1964,                 1.3805,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0349,                0.74178,                 1.1261,                0.78846,                0.60991,                0.71602,                0.42654,                 1.4272,                 1.1967,                 1.3782,               0.001637,               0.001637,               0.001637
                     57,                 1.0393,                0.74165,                 1.1161,                0.77713,                0.68684,                0.73502,                0.43663,                 1.4508,                 1.1579,                 1.4007,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.0441,                0.73444,                 1.1171,                0.81284,                    0.6,                0.70939,                0.41913,                 1.5223,                  1.235,                 1.4253,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.0562,                0.75539,                 1.1304,                0.69061,                0.62231,                0.65791,                0.40695,                 1.4792,                 1.2156,                   1.39,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.0415,                 0.7276,                 1.1205,                0.76289,                0.69223,                 0.7469,                0.44884,                 1.4413,                 1.0449,                 1.3783,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.0411,                0.72687,                 1.1108,                0.79358,                0.62424,                0.72287,                0.43304,                 1.4338,                 1.1313,                 1.3946,               0.001604,               0.001604,               0.001604
                     62,                 1.0437,                0.75384,                 1.1101,                0.74953,                0.64383,                0.70446,                 0.4116,                 1.4287,                 1.1161,                 1.3752,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0458,                0.76021,                 1.1328,                0.71247,                0.60606,                0.68609,                0.40035,                  1.492,                 1.1894,                 1.3945,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0551,                0.74528,                 1.1188,                0.76301,                0.64848,                0.72763,                0.42003,                 1.5265,                 1.1564,                 1.4267,              0.0015842,              0.0015842,              0.0015842
                     65,                  1.006,                0.72459,                 1.1094,                0.80836,                 0.6303,                0.73858,                0.43986,                 1.4716,                 1.1135,                 1.4031,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.0136,                0.71713,                 1.1031,                0.77757,                0.65455,                0.73597,                0.43772,                   1.45,                 1.1296,                 1.3797,               0.001571,               0.001571,               0.001571
                     67,                 1.0094,                0.71964,                  1.082,                0.79542,                0.62727,                0.71994,                0.43489,                 1.4349,                 1.2602,                 1.3668,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.0168,                0.70862,                 1.0955,                 0.7581,                0.69091,                0.72651,                0.42483,                 1.5079,                 1.1839,                 1.4279,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.0317,                0.74132,                  1.105,                0.70822,                0.74242,                0.73657,                0.42742,                 1.4455,                 1.0697,                 1.3966,              0.0015512,              0.0015512,              0.0015512
                     70,                0.98136,                 0.7024,                 1.0924,                0.76099,                 0.6697,                0.72785,                0.44569,                 1.4576,                 1.1103,                 1.3821,              0.0015446,              0.0015446,              0.0015446
                     71,                0.99295,                0.73232,                 1.0983,                0.71628,                0.66364,                0.72369,                 0.4213,                  1.494,                 1.1844,                 1.3968,               0.001538,               0.001538,               0.001538
                     72,                0.99142,                0.72495,                 1.0941,                0.77584,                0.65029,                0.75626,                0.46047,                 1.3671,                 1.0149,                 1.3201,              0.0015314,              0.0015314,              0.0015314
                     73,                0.97888,                0.67621,                 1.0823,                0.70397,                0.69394,                0.73322,                0.45365,                 1.4466,                 1.0998,                  1.415,              0.0015248,              0.0015248,              0.0015248
                     74,                0.99007,                0.69643,                 1.0868,                0.82573,                0.66061,                0.74053,                0.44103,                 1.4428,                 1.1483,                 1.3915,              0.0015182,              0.0015182,              0.0015182
                     75,                0.99897,                0.67261,                 1.0799,                0.80441,                0.61212,                0.72701,                0.43045,                 1.4526,                  1.169,                 1.3829,              0.0015116,              0.0015116,              0.0015116
                     76,                0.97422,                 0.6515,                 1.0755,                0.75373,                0.67273,                0.74836,                0.46113,                  1.438,                 1.1102,                  1.369,               0.001505,               0.001505,               0.001505
                     77,                 0.9853,                0.65899,                 1.0939,                0.80379,                    0.6,                0.69983,                0.42686,                 1.4406,                  1.147,                 1.3963,              0.0014984,              0.0014984,              0.0014984
                     78,                0.97376,                0.66083,                 1.0839,                0.82723,                0.62388,                0.72125,                0.44954,                 1.4043,                 1.1511,                  1.359,              0.0014918,              0.0014918,              0.0014918
