                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0142,                0.72632,                 1.1624,                0.83988,                0.63579,                0.73692,                0.44094,                 1.4404,                 1.1068,                 1.5165,               0.001604,               0.001604,               0.001604
                     62,                 1.0161,                 0.7486,                  1.169,                0.73947,                0.60303,                0.66416,                0.37988,                 1.5718,                  1.328,                 1.6357,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.0118,                0.74363,                 1.1917,                0.77856,                0.61515,                0.70477,                 0.4168,                 1.4612,                 1.2019,                 1.5393,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.0091,                0.73234,                 1.1751,                0.74602,                0.60606,                0.67228,                0.39389,                 1.5589,                 1.2557,                 1.6149,              0.0015842,              0.0015842,              0.0015842
                     65,                0.99751,                0.72325,                 1.1609,                0.79231,                0.63939,                0.72782,                0.42739,                 1.4071,                 1.1184,                 1.5227,              0.0015776,              0.0015776,              0.0015776
                     66,                0.99677,                0.71021,                   1.16,                0.81924,                0.64549,                0.74252,                0.43874,                 1.4548,                 1.0977,                 1.5109,               0.001571,               0.001571,               0.001571
                     67,                0.98803,                0.69746,                 1.1457,                0.81727,                0.66667,                0.76134,                0.45181,                  1.383,                 1.2073,                 1.4496,              0.0015644,              0.0015644,              0.0015644
                     68,                0.99368,                0.71471,                 1.1602,                0.76807,                0.67273,                0.75058,                0.45791,                 1.4338,                 1.0859,                 1.4857,              0.0015578,              0.0015578,              0.0015578
                     69,                0.99288,                0.70795,                 1.1483,                0.79259,                0.65152,                0.71884,                0.43993,                 1.4219,                 1.2137,                 1.4722,              0.0015512,              0.0015512,              0.0015512
                     70,                0.97258,                0.70191,                 1.1598,                0.76688,                0.64242,                0.72149,                0.42565,                 1.4407,                 1.1622,                 1.4878,              0.0015446,              0.0015446,              0.0015446
                     71,                0.95436,                0.69948,                  1.149,                0.68833,                 0.6157,                0.67645,                 0.4158,                 1.4429,                  1.158,                 1.4883,               0.001538,               0.001538,               0.001538
                     72,                0.96799,                0.71887,                 1.1551,                0.76587,                    0.6,                0.67632,                0.38519,                 1.5835,                 1.2802,                 1.5738,              0.0015314,              0.0015314,              0.0015314
                     73,                0.97839,                0.70739,                 1.1435,                  0.777,                0.67879,                0.71721,                 0.4241,                 1.4091,                 1.1004,                 1.4803,              0.0015248,              0.0015248,              0.0015248
                     74,                 0.9735,                 0.6958,                 1.1411,                0.80991,                0.58788,                 0.7052,                0.41936,                 1.4145,                 1.1386,                 1.4845,              0.0015182,              0.0015182,              0.0015182
